Date,Description,Amount
2023-10-01,Bank Transaction 1,-525.38
2023-08-19,Bank Transaction 2,687.04
2023-12-21,Bank Transaction 3,847.47
2023-03-03,Bank Transaction 4,43.22
2023-07-17,Bank Transaction 5,59.37
2023-09-27,Bank Transaction 6,217.14
2023-11-30,Bank Transaction 7,-151.38
2023-11-09,Bank Transaction 8,-842.55
2023-08-16,Bank Transaction 9,-73.76
2023-08-13,Bank Transaction 10,-921.25
2023-01-07,Bank Transaction 11,-564.73
2023-01-03,Bank Transaction 12,496.77
2023-10-30,Bank Transaction 13,445.91
2023-02-27,Bank Transaction 14,-563.96
2023-02-16,Bank Transaction 15,-403.1
2023-10-26,Bank Transaction 16,900.01
2023-09-15,Bank Transaction 17,-932.58
2023-12-24,Bank Transaction 18,236.2
2023-02-24,Bank Transaction 19,-944.13
2023-06-06,Bank Transaction 20,-459.83
2023-08-24,Bank Transaction 21,905.76
2023-07-08,Bank Transaction 22,830.21
2023-08-04,Bank Transaction 23,384.47
2023-10-16,Bank Transaction 24,665.0
2023-09-09,Bank Transaction 25,-745.75
2023-01-13,Bank Transaction 26,626.15
2023-08-14,Bank Transaction 27,604.14
2023-01-16,Bank Transaction 28,-166.16
2023-06-23,Bank Transaction 29,-680.71
2023-01-08,Bank Transaction 30,-582.29
2023-02-08,Bank Transaction 31,-952.41
2023-05-28,Bank Transaction 32,-716.08
2023-10-07,Bank Transaction 33,-629.33
2023-10-25,Bank Transaction 34,298.28
2023-11-08,Bank Transaction 35,-835.96
2023-01-07,Bank Transaction 36,694.03
2023-02-11,Bank Transaction 37,210.65
2023-11-16,Bank Transaction 38,724.0
2023-07-03,Bank Transaction 39,-155.42
2023-01-03,Bank Transaction 40,-96.74
2023-07-08,Bank Transaction 41,-527.46
2023-06-13,Bank Transaction 42,-462.9
2023-05-09,Bank Transaction 43,-959.92
2023-11-13,Bank Transaction 44,-859.01
2023-01-26,Bank Transaction 45,835.43
2023-04-30,Bank Transaction 46,-713.45
2023-01-28,Bank Transaction 47,867.26
2023-11-06,Bank Transaction 48,-888.55
2023-09-30,Bank Transaction 49,282.23
2023-07-08,Bank Transaction 50,-286.8
2023-12-21,Bank Transaction 51,-415.74
2023-03-22,Bank Transaction 52,578.66
2023-07-20,Bank Transaction 53,-852.45
2023-04-09,Bank Transaction 54,927.86
2023-06-08,Bank Transaction 55,-830.35
2023-05-06,Bank Transaction 56,-878.43
2023-12-13,Bank Transaction 57,-483.9
2023-04-12,Bank Transaction 58,189.89
2023-06-20,Bank Transaction 59,-997.66
2023-08-17,Bank Transaction 60,-937.35
2023-02-02,Bank Transaction 61,539.25
2023-11-25,Bank Transaction 62,-553.21
2023-04-30,Bank Transaction 63,606.72
2023-08-15,Bank Transaction 64,142.66
2023-04-15,Bank Transaction 65,-614.69
2023-04-08,Bank Transaction 66,-240.71
2023-05-26,Bank Transaction 67,298.99
2023-07-07,Bank Transaction 68,913.1
2023-03-30,Bank Transaction 69,782.49
2023-06-02,Bank Transaction 70,604.96
2023-07-09,Bank Transaction 71,-943.45
2023-08-28,Bank Transaction 72,-703.38
2023-02-10,Bank Transaction 73,-373.23
2023-03-10,Bank Transaction 74,115.2
2023-03-29,Bank Transaction 75,484.08
2023-11-12,Bank Transaction 76,-970.69
2023-09-10,Bank Transaction 77,-713.11
2023-06-02,Bank Transaction 78,-855.13
2023-10-16,Bank Transaction 79,333.41
2023-07-16,Bank Transaction 80,599.22
2023-03-05,Bank Transaction 81,-154.88
2023-07-07,Bank Transaction 82,900.1
2023-03-30,Bank Transaction 83,71.09
2023-12-19,Bank Transaction 84,551.02
2023-07-03,Bank Transaction 85,807.75
2023-12-17,Bank Transaction 86,688.15
2023-10-07,Bank Transaction 87,-334.48
2023-08-25,Bank Transaction 88,29.6
2023-06-12,Bank Transaction 89,713.78
2023-01-20,Bank Transaction 90,-166.67
2023-06-22,Bank Transaction 91,-118.87
2023-02-03,Bank Transaction 92,-700.64
2023-03-25,Bank Transaction 93,174.77
2023-02-05,Bank Transaction 94,-335.24
2023-12-21,Bank Transaction 95,589.77
2023-10-12,Bank Transaction 96,-440.55
2023-07-11,Bank Transaction 97,-849.67
2023-05-10,Bank Transaction 98,518.92
2023-04-14,Bank Transaction 99,479.75
2023-07-10,Bank Transaction 100,913.71
2023-05-11,Bank Transaction 101,-209.77
2023-03-14,Bank Transaction 102,-13.63
2023-03-30,Bank Transaction 103,-608.49
2023-09-01,Bank Transaction 104,247.14
2023-10-11,Bank Transaction 105,43.07
2023-03-28,Bank Transaction 106,-171.15
2023-02-18,Bank Transaction 107,-662.23
2023-02-11,Bank Transaction 108,-769.96
2023-10-09,Bank Transaction 109,924.35
2023-03-16,Bank Transaction 110,792.39
2023-10-16,Bank Transaction 111,876.05
2023-04-28,Bank Transaction 112,705.62
2023-06-04,Bank Transaction 113,471.18
2023-08-22,Bank Transaction 114,442.91
2023-12-08,Bank Transaction 115,-889.79
2023-02-28,Bank Transaction 116,900.16
2023-07-10,Bank Transaction 117,46.47
2023-01-21,Bank Transaction 118,-688.58
2023-04-23,Bank Transaction 119,-7.27
2023-04-26,Bank Transaction 120,-467.01
2023-05-29,Bank Transaction 121,-639.02
2023-04-26,Bank Transaction 122,-319.57
2023-04-22,Bank Transaction 123,-222.19
2023-10-25,Bank Transaction 124,953.48
2023-11-29,Bank Transaction 125,106.02
2023-06-02,Bank Transaction 126,-330.08
2023-05-13,Bank Transaction 127,874.94
